Asunto,FECHA Y HORA DEL TIEMPO EMPLEADO2,Grupo solicitud,Hora de inicio del tiempo empleado,Horas empleadas,Horas enteras,ID de la solicitud,Minutos,Minutos empleados,minutos_bien,Proyecto,TIEMPO DESGLOSADAS,Tiempo empleado
"[CRM] Error al procesar 3 entidades (f_ronda_aper, f_actividad y f_estudio)",2023-05-25 10:45:00,Ticketing,1615891500000,0.5,0,9335,0.5,30,30,Proyecto 3,0.020833333333333332,1800000
acceso bbdd,2023-02-25 10:00:00,Ticketing,1608199200000,0.25,0,8892,0.25,15,15,Proyecto 1,0.010416666666666666,900000
acceso bbdd,2023-02-26 09:00:00,Ticketing,1608282000000,0.5,0,8892,0.5,30,30,Proyecto 1,0.020833333333333332,1800000
Actualización de Maestros (Granada),2023-02-19 08:30:00,Ticketing,1607675400000,0.25,0,8744,0.25,15,15,Proyecto 2,0.010416666666666666,900000
Actualización de Maestros (Granada),2023-02-22 10:15:00,Ticketing,1607940900000,0.75,0,8744,0.75,45,45,Proyecto 2,0.03125,2700000
Actualización de Maestros (Granada),2023-02-19 09:00:00,Ticketing,1607677200000,1,1,8744,0,60,0,Proyecto 2,0.041666666666666664,3600000
ACTUALIZACIÓN MAESTRO,2023-03-30 14:50:00,Ticketing,1611067800000,0.5,0,9027,0.5,30,30,Proyecto 2,0.020833333333333332,1800000
ACTUALIZACIÓN MAESTRO,2023-05-13 11:00:00,Ticketing,1614855600000,0.25,0,9309,0.25,15,15,Proyecto 2,0.010416666666666666,900000
ACTUALIZACIÓN MAESTRO,2023-05-13 11:15:00,Ticketing,1614856500000,0.25,0,9309,0.25,15,15,Proyecto 2,0.010416666666666666,900000
Análisis optimización CdM_CODI_INFRA_4Data_K.pbix,2023-04-15 15:00:00,Ticketing,1612450800000,2,2,9140,0,120,0,Proyecto 3,0.08333333333333333,7200000
Añadir 2021 a informes PowerBI Bicing,2023-03-15 09:30:00,Ticketing,1609752600000,0.75,0,8956,0.75,45,45,Proyecto 1,0.03125,2700000
Ausencia eventos en landing,2023-04-05 09:00:00,Ticketing,1611565200000,0.5,0,9014,0.5,30,30,Proyecto 2,0.020833333333333332,1800000
cálculo Kpi 13,2023-02-08 08:30:00,Ticketing,1606725000000,0.16666666666666666,0,8822,0.16666666666666666,10,10,Proyecto 1,0.006944444444444444,600000
cálculo Kpi 13,2023-02-25 13:30:00,Ticketing,1608211800000,2,2,8822,0,120,0,Proyecto 1,0.08333333333333333,7200000
cálculo Kpi 13,2023-02-24 14:00:00,Ticketing,1608127200000,0.25,0,8822,0.25,15,15,Proyecto 1,0.010416666666666666,900000
cálculo Kpi 13,2023-02-25 10:20:00,Ticketing,1608200400000,0.5,0,8822,0.5,30,30,Proyecto 1,0.020833333333333332,1800000
cálculo Kpi 13,2023-02-09 09:00:00,Ticketing,1606813200000,0.75,0,8822,0.75,45,45,Proyecto 1,0.03125,2700000
cálculo Kpi 13,2023-02-05 08:00:00,Ticketing,1606464000000,1,1,8822,0,60,0,Proyecto 1,0.041666666666666664,3600000
cálculo Kpi 13,2023-02-09 15:00:00,Ticketing,1606834800000,1,1,8822,0,60,0,Proyecto 1,0.041666666666666664,3600000
cálculo Kpi 13,2023-02-26 12:30:00,Ticketing,1608294600000,1.25,1,8822,0.25,75,15,Proyecto 1,0.052083333333333336,4500000
cambiar filtro en el informe de 120 min a 24 horas,2023-04-02 11:45:00,Ticketing,1611315900000,0.5,0,9041,0.5,30,30,Proyecto 2,0.020833333333333332,1800000
Cambiar hora refrescos PowerBI GranadaLab,2023-01-28 09:00:00,Ticketing,1605776400000,0.25,0,8729,0.25,15,15,Proyecto 2,0.010416666666666666,900000
Cambio procesamiento automático a las 07AM,2023-04-05 15:00:00,Ticketing,1611586800000,0.25,0,9065,0.25,15,15,Proyecto 3,0.010416666666666666,900000
Carga datos en BICING días 2020-11-01 y 2020-11-02,2023-01-25 12:39:00,Ticketing,1605530340000,0.25,0,8640,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Creación de vistas en snowflake-CRM hora local (Madrid),2023-04-21 17:15:00,Ticketing,1612977300000,0.25,0,9179,0.25,15,15,Proyecto 3,0.010416666666666666,900000
Creación de vistas en snowflake-CRM hora local (Madrid),2023-04-27 09:30:00,Ticketing,1613467800000,0.25,0,9179,0.25,15,15,Proyecto 3,0.010416666666666666,900000
Creación de vistas en snowflake-CRM hora local (Madrid),2023-04-21 16:30:00,Ticketing,1612974600000,0.75,0,9179,0.75,45,45,Proyecto 3,0.03125,2700000
Creación de vistas en snowflake-CRM hora local (Madrid),2023-04-21 15:00:00,Ticketing,1612969200000,1.5,1,9179,0.5,90,30,Proyecto 3,0.0625,5400000
CRM- Databricks execution failed,2023-04-12 08:45:00,Ticketing,1612169100000,0.25,0,9123,0.25,15,15,Proyecto 3,0.010416666666666666,900000
CRM- Databricks execution failed,2023-04-12 10:00:00,Ticketing,1612173600000,0.25,0,9123,0.25,15,15,Proyecto 3,0.010416666666666666,900000
datos KPI 13 retroactivo,2023-02-18 11:30:00,Ticketing,1607599800000,0.25,0,8856,0.25,15,15,Proyecto 1,0.010416666666666666,900000
datos KPI 13 retroactivo,2023-02-18 13:30:00,Ticketing,1607607000000,0.25,0,8856,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Degradación del servicio bbdd en Bicing,2023-04-20 14:30:00,Ticketing,1612881000000,0.5,0,9172,0.5,30,30,Proyecto 1,0.020833333333333332,1800000
Diario 4IN,2023-04-16 11:00:00,Mantenimiento,1612522800000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-04-19 08:45:00,Mantenimiento,1612773900000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-04-20 08:45:00,Mantenimiento,1612860300000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-04-21 08:45:00,Mantenimiento,1612946700000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-04-22 08:45:00,Mantenimiento,1613033100000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-04-23 08:00:00,Mantenimiento,1613116800000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-04-26 08:45:00,Mantenimiento,1613378700000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-04-27 08:45:00,Mantenimiento,1613465100000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-04-28 08:45:00,Mantenimiento,1613551500000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-04-29 11:00:00,Mantenimiento,1613646000000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-04-30 07:45:00,Mantenimiento,1613720700000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-05-03 08:45:00,Mantenimiento,1613983500000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-05-04 08:45:00,Mantenimiento,1614069900000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-05-05 08:45:00,Mantenimiento,1614156300000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-05-06 08:45:00,Mantenimiento,1614242700000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-05-07 08:45:00,Mantenimiento,1614329100000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-05-10 08:45:00,Mantenimiento,1614588300000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-05-11 08:45:00,Mantenimiento,1614674700000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-05-12 08:45:00,Mantenimiento,1614761100000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-05-13 08:45:00,Mantenimiento,1614847500000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-05-14 08:45:00,Mantenimiento,1614933900000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-05-17 08:45:00,Mantenimiento,1615193100000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-05-18 08:45:00,Mantenimiento,1615279500000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-05-19 08:45:00,Mantenimiento,1615365900000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-05-20 08:45:00,Mantenimiento,1615452300000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-05-21 11:45:00,Mantenimiento,1615549500000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-05-24 08:45:00,Mantenimiento,1615797900000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-05-25 08:45:00,Mantenimiento,1615884300000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-05-26 08:45:00,Mantenimiento,1615970700000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-05-27 08:45:00,Mantenimiento,1616057100000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-05-31 08:45:00,Mantenimiento,1616402700000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-06-01 08:45:00,Mantenimiento,1616489100000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-06-02 08:30:00,Mantenimiento,1616574600000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-06-03 08:15:00,Mantenimiento,1616660100000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-06-04 09:00:00,Mantenimiento,1616749200000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-06-07 08:15:00,Mantenimiento,1617005700000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-06-08 07:45:00,Mantenimiento,1617090300000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario 4IN,2023-06-09 07:45:00,Mantenimiento,1617176700000,0.25,0,9149,0.25,15,15,Proyecto 4,0.010416666666666666,900000
Diario Bicing,2023-01-12 08:00:00,Mantenimiento,1604390400000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-01-13 08:00:00,Mantenimiento,1604476800000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-01-14 08:00:00,Mantenimiento,1604563200000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-01-15 08:00:00,Mantenimiento,1604649600000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-01-19 08:00:00,Mantenimiento,1604995200000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-01-20 08:00:00,Mantenimiento,1605081600000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-01-21 08:00:00,Mantenimiento,1605168000000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-01-22 08:00:00,Mantenimiento,1605254400000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-01-25 08:00:00,Mantenimiento,1605513600000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-01-26 08:00:00,Mantenimiento,1605600000000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-01-27 08:00:00,Mantenimiento,1605686400000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-01-28 08:00:00,Mantenimiento,1605772800000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-01-29 08:00:00,Mantenimiento,1605859200000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-02-01 08:00:00,Mantenimiento,1606118400000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-02-02 08:00:00,Mantenimiento,1606204800000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-02-03 08:00:00,Mantenimiento,1606291200000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-02-04 08:00:00,Mantenimiento,1606377600000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-02-05 08:00:00,Mantenimiento,1606464000000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-02-08 08:00:00,Mantenimiento,1606723200000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-02-09 08:00:00,Mantenimiento,1606809600000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-02-10 08:00:00,Mantenimiento,1606896000000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-02-11 08:00:00,Mantenimiento,1606982400000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-02-12 08:00:00,Mantenimiento,1607068800000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-02-18 08:00:00,Mantenimiento,1607587200000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-02-19 08:00:00,Mantenimiento,1607673600000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-02-22 08:00:00,Mantenimiento,1607932800000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-02-23 08:00:00,Mantenimiento,1608019200000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-02-24 08:00:00,Mantenimiento,1608105600000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-02-25 08:00:00,Mantenimiento,1608192000000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-02-26 08:00:00,Mantenimiento,1608278400000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-03-01 08:00:00,Mantenimiento,1608537600000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-03-02 08:00:00,Mantenimiento,1608624000000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-03-03 08:00:00,Mantenimiento,1608710400000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-03-08 08:00:00,Mantenimiento,1609142400000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-03-09 08:15:00,Mantenimiento,1609229700000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-03-10 08:00:00,Mantenimiento,1609315200000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-03-15 08:00:00,Mantenimiento,1609747200000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-03-16 08:00:00,Mantenimiento,1609833600000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-03-18 08:00:00,Mantenimiento,1610006400000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-03-19 07:00:00,Mantenimiento,1610089200000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-03-22 08:00:00,Mantenimiento,1610352000000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-03-23 08:00:00,Mantenimiento,1610438400000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-03-24 08:00:00,Mantenimiento,1610524800000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-03-25 08:00:00,Mantenimiento,1610611200000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
Diario Bicing,2023-03-26 07:15:00,Mantenimiento,1610694900000,0.25,0,8853,0.25,15,15,Proyecto 1,0.010416666666666666,900000
