Categoría,Dias abierto,Estado de solicitud,Hora de creación,Hora de finalización,Horal laborales abierto,Horas abierto,Horas tecnico,ID de la solicitud,Máx. de Estado de primera respuesta vencido,Tiempo ticket abierto,Tiempo transcurrido
Desarrollo,,En espera,1614792236496,0,,,1.25,9307,0,,0
Desarrollo,"0,75",Cerrado,1612970360998,1613034925978,5.978238888888889,"17,93",2.75,9179,0,64564980,1479000
Desarrollo,"6,85",Cerrado,1606145040000,1606736925573,54.80421972222222,"164,41",18,8719,0,591885573,0
Desarrollo,"8,05",Cerrado,1612274834539,1612970059580,64.37268898148149,"193,12",4,9134,0,695225041,20470
Desarrollo,"16,18",Cerrado,1613472561265,1614870208890,129.4118171296296,"388,24",15.5,9209,0,1397647625,261148
Desarrollo,"23,85",Cerrado,1607695204827,1609755981632,190.81266712962963,"572,44",2.25,8872,0,2060776805,19642
Error de sistema,"0,01",Cerrado,1610008835233,1610009608238,0.07157453703703703,"0,21",0.25,8973,0,773005,8126
Error de sistema,"0,01",Cerrado,1608022584233,1608023529492,0.08752398148148148,"0,26",0.5,8882,0,945259,58423
Error de sistema,"0,03",Cerrado,1612886239459,1612888420452,0.2019437962962963,"0,61",0.25,9174,0,2180993,12266
Error de sistema,"0,12",Cerrado,1604659455018,1604669572888,0.9368398148148148,"2,81",3,8662,0,10117870,25672
Error de sistema,"0,24",Cerrado,1610356748979,1610377065098,1.8811221296296294,"5,64",0.5,8988,0,20316119,48577
Error de sistema,"0,99",Cerrado,1612168705709,1612254477141,7.941799259259259,"23,83",0.5,9123,0,85771432,12359
Error de sistema,"1,13",Cerrado,1610356260157,1610453699932,9.02220138888889,"27,07",1,8987,0,97439775,18297
Error de sistema,"1,63",Cerrado,1610554945674,1610695503682,13.01463037037037,"39,04",0.25,8994,0,140558008,38111
Error de sistema,"5,05",Cerrado,1610017241476,1610453678902,40.410872777777776,"121,23",0.5,8977,0,436437426,16891
Error de sistema,"6,36",Cerrado,1613550470496,1614099850853,50.868551574074075,"152,61",0.75,9213,0,549380357,34002
Error de sistema,"6,81",Cerrado,1612875244644,1613463646722,54.481673888888885,"163,45",0.5,9172,0,588402078,15861
Error de sistema,"7,20",Cerrado,1609761487822,1610383740626,57.616000370370365,"172,85",4,8959,0,622252804,11212938
Error de sistema,"7,94",Cerrado,1610992638200,1611678579210,63.51305648148148,"190,54",0.5,9024,0,685941010,287892
Error de sistema,"8,32",Cerrado,1610959252807,1611678336907,66.58186111111111,"199,75",0.5,9014,0,719084100,45331
Error de sistema,"85,77",Cerrado,1605715259577,1613125858931,686.166606851852,"2058,50",0,8727,0,7410599354,50423
Error funcional,,En espera,1612214281832,0,,,6.25,9132,0,,0
Error funcional,,En espera,1615288351508,0,,,6.5,9324,0,,0
Error funcional,"0,06",Cerrado,1609750937949,1609755882564,0.45783472222222227,"1,37",0.25,8953,0,4944615,16626
Error funcional,"0,11",Cerrado,1615884415652,1615893536501,0.8445230555555555,"2,53",0.5,9335,0,9120849,14454
Error funcional,"0,14",Cerrado,1616744153515,1616756456853,1.139197962962963,"3,42",2,9375,0,12303338,0
Error funcional,"0,21",Cerrado,1605522251918,1605540089656,1.6516424074074074,"4,95",2.8666666666666667,8715,0,17837738,52094
Error funcional,"0,68",Cerrado,1604594785871,1604653772920,5.461763796296296,"16,39",1.6333333333333333,8654,0,58987049,72220
Error funcional,"0,92",Cerrado,1614597392297,1614676730247,7.346106481481481,"22,04",0.5,9291,0,79337950,18547
Error funcional,"0,96",Cerrado,1616660598230,1616743548768,7.68060537037037,"23,04",4.75,9372,0,82950538,14501
Error funcional,"1,94",Cerrado,1611568762390,1611736320316,15.51462277777778,"46,54",2.25,9060,0,167557926,5677927
Error funcional,"2,01",Cerrado,1608023235703,1608196938914,16.083630648148148,"48,25",1,8883,0,173703211,1025057
Error funcional,"2,27",Cerrado,1604394367674,1604590342595,18.14582601851852,"54,44",4,8631,0,195974921,2199138
Error funcional,"5,96",Cerrado,1616057136783,1616572028139,47.67512555555555,"143,03",8.5,9352,0,514891356,13408
Error funcional,"7,19",Cerrado,1608638682269,1609260193692,57.54735398148148,"172,64",0.5,8914,0,621511423,1275674
Error funcional,"12,08",Cerrado,1604487990569,1605531322271,96.60478722222223,"289,81",0.25,8640,0,1043331702,310006
Error funcional,"22,32",Cerrado,1612171257213,1614099841957,178.5726614814815,"535,72",0.5,9124,0,1928584744,74237
Error funcional,"32,35",Cerrado,1606465060107,1609260070501,258.7972587037037,"776,39",6.916666666666667,8822,0,2795010394,17407
Error funcional,"33,67",Cerrado,1611767487948,1614676762591,269.37728175925923,"808,13",2.5,9087,0,2909274643,460934
Error funcional,"80,80",Cerrado,1606144621069,1613126113844,646.4345162037038,"1939,30",3.25,8771,0,6981492775,18889
Otros,,Resuelto,1606985945913,0,,,24.25,8853,0,,100549
Otros,,Resuelto,1606987014675,0,,,24.25,8854,0,,71470
Otros,,Resuelto,1610016804502,0,,,15.25,8976,0,,35939
Otros,,Resuelto,1612522057390,0,,,9.5,9149,0,,14751
Otros,"0,10",Cerrado,1610438241136,1610447031388,0.8139122222222223,"2,44",0.5,8992,0,8790252,625882
