appr_statusid,assignedtime,categoryid,close_comments,closeaccepted,closurecodeid,editing_status,closurecomments,editorid,hasattachment,haslinkedrequest,impactdetails,impactid,isfcr,isescalated,is_fr_overdue,isoverdue,isread,itemid,last_tech_update,levelid,linkcomments,linkedworkorderid,notificationstatus,ownerid,priorityid,reopened,req_chat_type,reqapproval,requesttypeid,shownotestotech,statusid,subcategoryid,unrepliedcount,urgencyid,workorderid
,,,,,,0,,,0,0,,,0,0,0,0,0,,0,,"",8418,,,,0,0,0,,0,1,,,,8893
,,,,,,0,,,0,0,,,0,0,0,0,0,,1608286599215,,,,TECH_REPLY,,,0,0,0,,0,1,,,,8896
,,4,,,,0,,,0,0,,,0,0,0,0,0,,0,,,,,,3,0,0,0,,0,1,5404,,,9383
,,11,,,,0,,,0,0,,,0,0,0,0,0,,0,,,,,,3,0,0,0,,0,1,3308,,,9144
,,601,,,,0,,,0,0,,,0,0,0,0,0,,0,,,,,,2,0,0,0,,0,1,3305,,,8648
,,601,,,,0,,,0,0,,,0,0,0,0,0,,0,,,,,,4,0,0,0,,0,1,3304,,,9039
,,3903,,,,0,,,0,0,,,0,0,1,1,0,,1589356388841,,,,TECH_REPLY,,,0,0,0,,0,2,2701,,,7565
,,6002,,,,0,,,0,0,,,0,0,0,0,0,,0,,,,,,3,0,0,0,,0,1,,,,9068
,,6002,,,,0,,,0,0,,,0,0,0,0,0,,0,,,,,,3,0,0,0,,0,1,,,,9315
,,6002,,,,0,,,0,0,,,0,0,0,0,0,,0,,,,,,3,0,0,0,,1,1,,,,9404
,,6002,,,,0,,,0,0,,,0,0,0,0,0,,0,,,,REQ_REPLY,,3,0,0,0,,0,1,,1,,8504
,,6002,,,,0,,,0,0,,,0,0,0,0,0,,1614078512029,,,,,,2,0,0,0,,0,1,,,,9073
,,6002,,,,0,,,0,0,,,0,0,0,0,0,,1617024035182,,,,,,3,0,0,0,,0,1,,,,8417
,,6002,,,,0,,,1,0,,,0,0,0,0,0,,0,,,,,,2,0,0,0,,0,1,,,,8995
,,6002,,,,0,,,1,0,,,0,0,0,0,0,,0,,,,,,3,0,0,0,,0,1,,,,8421
,,6002,,,,0,,,1,0,,,0,0,0,0,0,,0,,,,,,4,0,0,0,,0,1,,,,9085
,,6002,,,,0,,,1,0,,,0,0,0,0,0,,0,,,,,,4,0,0,0,,0,1,,,,9260
,,8401,,,,0,,,0,0,,,0,0,0,0,0,,0,,,,REQ_REPLY,,3,0,0,0,,0,1,8701,1,,7879
,,8401,,,,0,,,1,0,,,0,0,0,0,0,,0,,,,,,3,0,0,0,,0,1,8701,,,7876
,1518105693924,10,,NO,,0,,,0,0,,,0,0,0,0,1,,1518423889873,,,,TECH_REPLY,15603,3,0,0,0,,0,3,,,,3844
,1519717667216,4501,,NO,,0,,,0,0,,,0,0,0,0,1,,1548067442601,,,,,14108,3,0,0,0,,0,3,,,,3985
,1521715099104,2406,,NO,,0,,,0,0,,,0,0,0,0,1,,1521715099104,,,,,4804,3,0,0,0,,0,3,,,,3948
,1522048710649,2403,,NO,,0,,,0,0,,,0,0,0,0,1,,1522048710696,,,,,13805,3,1,0,0,,0,3,,,,4113
,1522160423503,3,,NO,,0,,,0,0,,,0,0,0,0,1,,1522160423503,,,,,13805,3,0,0,0,,0,3,8,,,4116
,1522234062237,2406,,NO,,0,,,0,0,,,0,0,0,0,1,,1522234062237,,,,,15603,3,0,0,0,,0,3,,,,4164
,1522654249266,2,,NO,,0,,,0,0,,,0,0,0,0,1,,1522654249266,,,,,13805,3,0,0,0,,0,3,,,,4171
,1522655828827,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1522655828827,,,,,13801,3,0,0,0,,0,3,3310,,,4013
,1522657122369,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1522657122369,,,,,9003,2,0,0,0,,0,3,3310,,,4020
,1522664171116,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1522664171116,,,,,13801,3,0,0,0,,0,3,1503,,,4179
,1522672785862,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1522672785877,,,,,9003,2,0,0,0,,0,3,1503,,,4182
,1522673857024,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1522673857024,,,,,13801,3,0,0,0,,0,3,1503,,,4073
,1522673893697,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1522673893697,,,,,9003,2,0,0,0,,0,3,1503,,,4181
,1522673970917,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1522673970917,,,,,13801,2,0,0,0,,0,3,3001,,,3557
,1522744743968,4501,,NO,,0,,,0,0,,,0,0,0,0,1,,1522744743984,,,,,14108,4,0,0,0,,0,3,,,,4183
,1522759566788,3,,NO,,0,,,0,0,,,0,0,0,0,1,,1522759566788,,,,,4804,3,1,0,0,,0,3,8,,,4117
,1522759754199,2403,,NO,,0,,,0,0,,,0,0,0,0,1,,1522759754199,,,,,13805,3,0,0,0,,0,3,,,,4169
,1522759818154,2403,,NO,,0,,,0,0,,,0,0,0,0,1,,1522759818154,,,,,13805,2,0,0,0,,0,3,,,,4156
,1522769977881,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1522769977881,,,,,9003,4,0,0,0,,0,3,3001,,,4186
,1522835476904,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1522835476904,,,,,15905,3,0,0,0,,0,3,1501,,,4191
,1522855313199,11,,NO,,0,,,0,0,,,0,0,0,0,1,,1522855313199,,,,,13805,3,0,0,0,,0,3,902,,,4194
,1522855927278,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1522855927278,,,,,9003,2,0,0,0,,0,3,1501,,,4188
,1522856602873,10,,NO,,0,,,0,0,,,0,0,0,0,1,,1522856602873,,,,,6609,4,0,0,0,,0,3,,,,3987
,1522917066679,2405,,NO,,0,,,1,0,,,0,0,0,0,1,,1522917066679,,,,TECH_REPLY,6609,3,0,0,0,,1,3,,,,3276
,1522917720665,901,,NO,,0,,,0,0,,,0,0,0,0,1,,1522917720665,,,,,4804,3,0,0,0,,0,3,3902,,,4193
,1522919019074,2403,,NO,,0,,,0,0,,,0,0,0,0,1,,1522919019090,,,,,14108,4,0,0,0,,0,3,,,,4201
,1522925557758,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1522925557774,,,,,9003,4,0,0,0,,0,3,1503,,,3939
,1522927729143,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1522927729158,,,,,9003,2,0,0,0,,0,3,1501,,,4204
,1522930697969,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1522930697984,,,,,9003,4,0,0,0,,0,3,1503,,,4205
,1522931751506,2702,,NO,,0,,,1,0,,,0,0,0,0,1,,1522931751521,,,,,13801,2,0,0,0,,0,3,1501,,,4200
,1522931861461,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1522931861461,,,,,13801,2,0,0,0,,0,3,1501,,,3865
,1522932012419,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1522932012419,,,,,13801,4,0,0,0,,0,3,1501,,,4206
,1522933171910,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1522933171910,,,,,13801,3,0,0,0,,0,3,1503,,,4207
,1522933436747,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1522933436747,,,,,13801,4,0,0,0,,0,3,1501,,,4208
,1522938476615,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1522938476615,,,,,13801,4,0,0,0,,0,3,1503,,,4209
,1523001692289,2,,NO,,0,,,0,0,,,0,0,0,0,1,,1523001692289,,,,,13805,3,0,0,0,,0,3,3301,,,4189
,1523004041912,1501,,NO,,0,,,0,0,,,0,0,0,0,1,,1523004041927,,,,,13805,3,0,0,0,,0,3,,,,4176
,1523016330604,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1523016330620,,,,,9003,3,0,0,0,,0,3,3001,,,4203
,1523028031610,5401,,NO,,0,,,0,0,,,0,0,0,0,1,,1523028031610,,,,,6609,4,0,0,0,,0,3,,,,4199
,1523030785225,10,,NO,,0,,,0,0,,,0,0,0,0,1,,1523030785568,,,,,4804,3,0,0,0,,0,3,16,,,4086
,1523030865323,3,,NO,,0,,,0,0,,,0,0,0,0,1,,1523030865323,,,,,4804,3,1,0,0,,0,3,8,,,4112
,1523258233585,901,,NO,,0,,,0,0,,,0,0,0,0,1,,1523258233585,,,,,4804,3,0,0,0,,0,3,3903,,,4211
,1523258767833,2,,NO,,0,,,0,0,,,0,0,0,0,1,,1523258767848,,,,,4804,4,0,0,0,,0,3,3301,,,4212
,1523264603181,4501,,NO,,0,,,0,0,,,0,0,0,0,1,,1523264603181,,,,,14108,4,0,0,0,,0,3,,,,4215
,1523274260540,1501,,NO,,0,,,0,0,,,0,0,0,0,1,,1523274260555,,,,,13805,3,0,0,0,,0,3,,,,4174
,1523279525425,11,,NO,,0,,,0,0,,,0,0,0,0,1,,1523279525425,,,,,13805,3,0,0,0,,0,3,902,,,4216
,1523290426113,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1523290426129,,,,,13801,4,0,0,0,,0,3,1501,,,4218
,1523290651182,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1523290651182,,,,,13801,4,0,0,0,,0,3,1503,,,4219
,1523344606071,10,,NO,,0,,,0,0,,,0,0,0,0,1,,1523344606071,,,,,13805,3,0,0,0,,0,3,,,,4079
,1523344805905,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1523344805905,,,,,9003,4,0,0,0,,0,3,1501,,,4221
,1523356501425,2403,,NO,,0,,,0,0,,,0,0,0,0,1,,1523356501440,,,,,15301,4,0,0,0,,0,3,,,,4217
,1523361358346,2701,,NO,,0,,,0,0,,,0,0,1,0,1,,1523361359705,,,,TECH_REPLY,4804,3,0,0,0,,0,3,,,,3693
,1523432055444,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1523432055600,,,,,9003,4,0,0,0,,0,3,1501,,,4222
,1523433943915,2403,,NO,,0,,,0,0,,,0,0,0,0,1,,1523433943915,,,,,14108,4,0,0,0,,0,3,,,,4226
,1523434536743,3903,,NO,,0,,,1,0,,,0,0,0,1,1,,1523434536868,,,,TECH_REPLY,15302,,0,0,0,,0,3,2701,,,4162
,1523437732009,11,,NO,,0,,,0,0,,,0,0,0,0,1,,1523437732025,,,,,13805,3,0,0,0,,0,3,3308,,,4080
,1523438266366,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1523438266382,,,,,9003,3,0,0,0,,0,3,1501,,,4227
,1523438442731,601,,NO,,0,,,0,0,,,0,0,0,0,1,,1523438442746,,,,,11401,3,0,0,0,,0,3,,,,4233
,1523439479914,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1523439479914,,,,,13805,4,0,0,0,,0,3,1502,,,4168
,1523439533274,2,,NO,,0,,,0,0,,,0,0,0,0,1,,1523439533274,,,,TECH_REPLY,4804,3,0,0,0,,0,3,3302,,,4230
,1523439589995,2,,NO,,0,,,0,0,,,0,0,0,0,1,,1523439589995,,,,,4804,3,0,0,0,,0,3,3302,,,4229
,1523440227277,10,,NO,,0,,,0,0,,,0,0,0,0,1,,1523440227292,,,,,13805,4,0,0,0,,0,3,16,,,4225
,1523442964441,3,,NO,,0,,,0,0,,,0,0,0,0,1,,1523442964457,,,,,4804,3,0,0,0,,0,3,8,,,4228
,1523447775159,601,,NO,,0,,,0,0,,,0,0,1,0,1,,1523447775393,,,,,13805,3,0,0,0,,0,3,3305,,,4234
,1523451394893,2405,,NO,,0,,,0,0,,,0,0,0,0,1,,1523451394893,,,,,4804,4,0,0,0,,0,3,,,,4210
,1523457941511,3903,,NO,,0,,,0,0,,,0,0,0,0,0,,1523458165471,,,,TECH_REPLY,15303,,0,0,0,,0,3,2701,,,4235
,1523462140154,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1523462140154,,,,,13801,4,0,0,0,,0,3,1501,,,4237
,1523526889905,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1523526889905,,,,,9003,4,0,0,0,,0,3,1501,,,4167
,1523535205042,2403,,NO,,0,,,1,0,,,0,0,0,0,1,,1523535205057,,,,,15301,4,0,0,0,,0,3,,,,4241
,1523546283015,1501,,NO,,0,,,1,0,,,0,0,0,0,1,,1523546283031,,,,,14102,4,0,0,0,,0,3,,,,4240
,1523606936901,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1523606936916,,,,,9003,3,0,0,0,,0,3,1501,,,4239
,1523607040014,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1523607040014,,,,,13801,4,0,0,0,,0,3,1503,,,4236
,1523607436288,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1523607436288,,,,,13801,4,0,0,0,,0,3,1501,,,4246
,1523607710295,2702,,NO,,0,,,0,0,,,0,0,0,0,1,,1523607710311,,,,,13801,4,0,0,0,,0,3,1501,,,4247
,1523620028209,2,,NO,,0,,,0,0,,,0,0,0,0,1,,1523620028225,,,,,13805,3,0,0,0,,0,3,,,,4248
